"Jaar","Totaal (1 000 euro)","Tot 20 jaar (1 000 euro)","20 tot 25 jaar (1 000 euro)","25 tot 30 jaar (1 000 euro)","30 jaar en ouder (1 000 euro)"
"2011","12,6","2,5","8,1","17,6","14,9"
"2012","11,8","2,2","7,8","16,4","13,2"
"2013","11,9","2,2","7,6","15,9","14,1"
"2014","12,2","2,3","7,5","15,8","14,9"
"2015","12,4","2,4","7,6","15,9","15,7"
"2016","12,3","2,4","7,5","15,9","16,2"
"2017","12,4","3,4","8,1","15,6","16,6"
"2018","12,9","3,9","9,2","15,9","16,9"
"2019","14,4","3,9","11,2","17,8","17,5"
"2020","15,3","3,7","12,8","18,6","17,6"
"2021","15,5","2,6","13,4","19,7","18,0"
"2022*","16,4","2,4","13,9","21,1","18,2"
"2023*","17,1","2,4","13,9","22,9","18,5"
"","","","","",""
"* voorlopige cijfers"